Ia,Ib,Ic,Va,Vb,Vc,G,C,B,A,Fault_Code,Fault_Type
0.012096034764648878,0.6030786298065268,-0.6192433392140352,0.7714445267306503,0.0305628395753706,-0.7897389991788046,0,1,1,0,0110,LL Fault
0.988903349636546,-0.5997948501200606,-0.3817157617437739,0.04439435263545695,-0.0834678536503241,0.05543330883453832,0,1,1,1,0111,LLL Fault
-0.4743564860004779,-0.04881339041347953,0.029950103931994244,0.4724593703250871,-0.06351417423293475,-0.39409891333919767,1,0,0,1,1001,LG Fault
-0.5783418154815186,0.9884853822122278,-0.4235316238304657,0.05253605001854841,0.021274097899456834,-0.05945956344293593,1,1,1,1,1111,LLLG Fault
-0.9854956740980726,0.4830574444479028,-0.02726299163648151,-0.013573678716521341,0.47298070055397184,-0.4534529893734365,1,0,1,1,1011,LLG Fault
-0.9415623371348201,0.23599873637828608,-0.04312526271495664,-0.028326787262994556,0.5515665361488474,-0.5187378911689695,1,0,1,1,1011,LLG Fault
-0.08134963696339871,0.07989000237491635,-0.008020403961995463,-0.28833007874594646,-0.6574638276747564,0.9739282711823074,0,0,0,0,0000,No Fault
-0.577395374126664,-0.3908049807225139,-0.06992461411718207,-0.048070027499137205,0.5709004682346686,-0.5186431311675909,1,0,1,1,1011,LLG Fault
-0.473383008463666,0.024881657937168344,-0.06017405843496268,-0.4800432653121618,0.9545057703599189,-0.47640945634996146,1,0,0,1,1001,LG Fault
-0.4011128350135042,0.9866541067449729,-0.5974006072972131,0.06444895301187262,0.008842767793524716,-0.05873681766970899,1,1,1,1,1111,LLLG Fault
-0.039548766816068726,-0.005923463515586366,0.03180844783826075,0.878285355836255,-0.7062940074948808,-0.14602325178686867,0,0,0,0,0000,No Fault
0.06255501638021652,-0.4960488771375593,0.4332487880440945,0.5041347094998387,0.04261629971456079,-0.5340026908453397,0,1,1,0,0110,LL Fault
0.4641671349876321,0.5335893820654357,-0.9983666391112866,0.09056217000806882,-0.05038243756299498,-0.024570169645392576,0,1,1,1,0111,LLL Fault
0.9997834205960331,-0.47277308289518016,-0.5198353965103034,0.05457489392988274,-0.08472238685943599,0.046504117074796215,0,1,1,1,0111,LLL Fault
-0.07079242476767993,0.7649955685768185,-0.6997939734677899,-0.15447050438286128,-0.05491695322240044,0.22573269162819895,0,1,1,0,0110,LL Fault
0.05536884466944804,-0.7562194834074556,0.7014080009336292,0.23718315189282385,0.02213512545569573,-0.24547356322644037,0,1,1,0,0110,LL Fault
0.894965389416433,-0.057121197388032105,-0.8329744571802141,0.07717516412975216,-0.07866193536284867,0.0176684718851479,0,1,1,1,0111,LLL Fault
-0.5252151275259647,0.9931335580612359,-0.47849284589688096,0.0563818602951584,0.017563855738806457,-0.059534919954664645,0,1,1,1,0111,LLL Fault
0.5377405782671816,-0.9795501332296691,0.4465315670224401,-0.013708854550208358,-0.05054788584271628,0.08014588479147279,0,1,1,1,0111,LLL Fault
-0.9568839260335169,0.7264125166644702,0.21465403115035836,0.007856615722233638,0.04871156496769308,-0.04261981118735798,1,1,1,1,1111,LLLG Fault
0.009934239304317517,0.6229003175365284,-0.6369864910611368,0.7603005798868608,0.028961120341219428,-0.776933391877335,0,1,1,0,0110,LL Fault
